t	y
1	5.541373232
2	5.676460855
3	5.731803889
4	5.727920455
5	5.796271423
6	5.896548651
7	5.930737338
8	6.000000000
9	6.096526924
10	6.181329765
11	6.256040159
12	6.349992013
13	6.404533372
14	6.419057271
15	6.510057692
16	6.539158811
17	6.591388770
18	6.680485112
19	6.737609511
20	6.768184325
21	6.811030580
22	6.799975392
23	6.863301327
24	6.882643049
25	6.913744267
26	6.898277465
27	6.922265821
28	6.995161443
29	7.019193565
30	7.023952322
31	7.036566129
32	6.991926699
33	7.039702424
34	7.050626073
35	7.022367813
36	7.052179864
37	7.139551352
38	7.210845257
39	7.349992013
40	7.426264755
41	7.502121432
42	7.583888667
43	7.685499698
44	7.736643528
45	7.822001698
46	7.860643614
47	7.935796472
48	7.983807966
49	8.019193565
50	8.087462841
51	8.198971156
52	8.259407010
53	8.346197110
54	8.422064766
55	8.484391359
56	8.539712735
57	8.579585323
58	8.599912842
59	8.686500527
60	8.712281331
61	8.718165887
62	8.744833837
63	8.761076271
64	8.786503017
65	8.788368772
66	8.697464066
67	8.666858015
68	8.685499698
69	8.651051691
70	8.623620251
71	8.560605788
72	8.510057692
73	8.513445627
